#,stock,link,market,ISIN,profile,detailspresent,withinstudy,covidstudy,industry,subindustry,2019accounts,2021accounts,UsedForENG,YahooFinanceURL,checkvs2021yahoo
1,4aim Sicaf Comparto 2 Crowdfunding,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005440323.html?lang=it,Euronext Growth Milan,IT0005440323,,N,,N,na,na,,,,https://finance.yahoo.com/quote/AIM2.MI?p=AIM2.MI&.tsrc=fin-srch,
2,A.B.P. Nocivelli,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005439861.html?lang=it,Euronext Growth Milan,IT0005439861,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005439861&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/ABP.MI?p=ABP.MI&.tsrc=fin-srch,
3,A2a,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001233417.html?lang=it,Euronext Milan,IT0001233417,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001233417&lang=it,Y,,Y,Utenze,Utenze,EN,EN,Y,https://finance.yahoo.com/quote/A2A.MI?p=A2A.MI&.tsrc=fin-srch,included
4,Aatech,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005548521.html?lang=it,Euronext Growth Milan,IT0005548521,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005548521&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/AAT.MI?p=AAT.MI&.tsrc=fin-srch,
5,Abc Company,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005466294.html?lang=it,Euronext Growth Milan - Segmento Professionale,IT0005466294,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005466294&lang=it,Y,,N,na,na,,,,https://finance.yahoo.com/quote/ABC.MI,
6,Abitare In,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005445280.html?lang=it,Euronext STAR Milan,IT0005445280,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005445280&lang=it,Y,,Y,Beni voluttuari,Servizi e prodotti di consumo,IT,EN,,https://finance.yahoo.com/quote/ABT.MI?p=ABT.MI&.tsrc=fin-srch,
7,Acea,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001207098.html?lang=it,Euronext Milan,IT0001207098,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001207098&lang=it,Y,,Y,Utenze,Utenze,EN,EN,Y,https://finance.yahoo.com/quote/ACE.MI?p=ACE.MI&.tsrc=fin-srch,included
8,Acinque,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001382024.html?lang=it,Euronext Milan,IT0001382024,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001382024&lang=it,Y,,Y,na,na,IT,IT,,https://finance.yahoo.com/quote/AC5.MI?p=AC5.MI&.tsrc=fin-srch,
9,Acquazzurra,https://www.borsaitaliana.it/borsa/azioni/euronext-growth-milan/scheda/IT0005443061.html?lang=it,Euronext Growth Milan - Segmento Professionale,IT0005443061,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0005443061&lang=it,Y,,Y,na,na,IT,IT,,na,
10,Adidas,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/DE000A1EWWW0.html?lang=it,Global Equity Market,DE000A1EWWW0,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=DE000A1EWWW0&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/ADS.DE?p=ADS.DE&.tsrc=fin-srch,
11,Advanced Micro Devices,https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US0079031078.html?lang=it,Global Equity Market,US0079031078,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=US0079031078&lang=it,Y,,outofscope,na,na,,,,https://finance.yahoo.com/quote/AMD?p=AMD&.tsrc=fin-srch,
12,Aeffe,https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001384590.html?lang=it,Euronext STAR Milan,IT0001384590,https://www.borsaitaliana.it/borsa/azioni/profilo-societa-dettaglio.html?isin=IT0001384590&lang=it,Y,,N,Beni voluttuari,Servizi e prodotti di consumo,,,,https://finance.yahoo.com/quote/AEF.MI?p=AEF.MI&.tsrc=fin-srch,
