isin,stock_x,indicator_code,indicator_name,period,value
IT0000062072,Generali Ass,balances_02,Total Assets,2021-12-31,586225000000
IT0000062072,Generali Ass,balances_04,Investmentin Financial Assets,2021-12-31,33767000000
IT0000062072,Generali Ass,balances_05,Other Intangible Assets,2021-12-31,2363000000
IT0000062072,Generali Ass,balances_06,Goodwill,2021-12-31,7607000000
IT0000062072,Generali Ass,balances_09,Accounts Receivable,2021-12-31,11618000000
IT0000062072,Generali Ass,balances_10,Cash And Cash Equivalents,2021-12-31,8476000000
IT0000062072,Generali Ass,balances_11,Total Capitalization,2021-12-31,45880000000
IT0000062072,Generali Ass,income_01,Diluted EPS,2021-12-31,1.79
IT0000062072,Generali Ass,income_02,Basic EPS,2021-12-31,1.81
IT0000062072,Generali Ass,income_03,Total Revenue,2021-12-31,92819000000
IT0000062072,Generali Ass,income_05,Operating Revenue,2021-12-31,92819000000
IT0000062072,Generali Ass,income_06,Net Income,2021-12-31,2847000000
IT0000062072,Generali Ass,income_07,EBIT,2021-12-31,5316000000
IT0000066123,Bper Banca,balances_02,Total Assets,2021-12-31,136347873000
IT0000066123,Bper Banca,balances_04,Investmentin Financial Assets,2021-12-31,28672602000
IT0000066123,Bper Banca,balances_05,Other Intangible Assets,2021-12-31,254805000
IT0000066123,Bper Banca,balances_06,Goodwill,2021-12-31,204392000
IT0000066123,Bper Banca,balances_10,Cash And Cash Equivalents,2021-12-31,21772398000
IT0000066123,Bper Banca,balances_11,Total Capitalization,2021-12-31,13696085000
IT0000066123,Bper Banca,income_01,Diluted EPS,2021-12-31,0.363
IT0000066123,Bper Banca,income_02,Basic EPS,2021-12-31,0.372
IT0000066123,Bper Banca,income_03,Total Revenue,2021-12-31,3693528000
IT0000066123,Bper Banca,income_05,Operating Revenue,2021-12-31,3693528000
IT0000066123,Bper Banca,income_06,Net Income,2021-12-31,525123000
IT0000072170,Finecobank,balances_02,Total Assets,2021-12-31,33867175000
IT0000072170,Finecobank,balances_04,Investmentin Financial Assets,2021-12-31,24705209000
IT0000072170,Finecobank,balances_05,Other Intangible Assets,2021-12-31,39084000
IT0000072170,Finecobank,balances_06,Goodwill,2021-12-31,89602000
IT0000072170,Finecobank,balances_10,Cash And Cash Equivalents,2021-12-31,1774606000
IT0000072170,Finecobank,balances_11,Total Capitalization,2021-12-31,2224063000
IT0000072170,Finecobank,income_01,Diluted EPS,2021-12-31,0.623
IT0000072170,Finecobank,income_02,Basic EPS,2021-12-31,0.624
IT0000072170,Finecobank,income_03,Total Revenue,2021-12-31,947640000
IT0000072170,Finecobank,income_05,Operating Revenue,2021-12-31,947640000
IT0000072170,Finecobank,income_06,Net Income,2021-12-31,380711000
IT0000072618,Intesa Sanpaolo,balances_02,Total Assets,2021-12-31,1069003000000
IT0000072618,Intesa Sanpaolo,balances_04,Investmentin Financial Assets,2021-12-31,170886000000
IT0000072618,Intesa Sanpaolo,balances_05,Other Intangible Assets,2021-12-31,5768000000
IT0000072618,Intesa Sanpaolo,balances_06,Goodwill,2021-12-31,3574000000
IT0000072618,Intesa Sanpaolo,balances_10,Cash And Cash Equivalents,2021-12-31,145844000000
IT0000072618,Intesa Sanpaolo,balances_11,Total Capitalization,2021-12-31,163603000000
IT0000072618,Intesa Sanpaolo,income_01,Diluted EPS,2021-12-31,0.22
IT0000072618,Intesa Sanpaolo,income_02,Basic EPS,2021-12-31,0.22
IT0000072618,Intesa Sanpaolo,income_03,Total Revenue,2021-12-31,21898000000
IT0000072618,Intesa Sanpaolo,income_05,Operating Revenue,2021-12-31,21898000000
IT0000072618,Intesa Sanpaolo,income_06,Net Income,2021-12-31,4185000000
IT0000076502,Danieli & C,balances_01,Current Liabilities,2021-06-30,2986595000
IT0000076502,Danieli & C,balances_02,Total Assets,2021-06-30,5451472000
IT0000076502,Danieli & C,balances_03,Total Non Current Assets,2021-06-30,1260489000
IT0000076502,Danieli & C,balances_05,Other Intangible Assets,2021-06-30,30032000
IT0000076502,Danieli & C,balances_06,Goodwill,2021-06-30,7928000
IT0000076502,Danieli & C,balances_07,Current Assets,2021-06-30,4190983000
IT0000076502,Danieli & C,balances_08,Inventory,2021-06-30,1380241000
IT0000076502,Danieli & C,balances_09,Accounts Receivable,2021-06-30,843588000
IT0000076502,Danieli & C,balances_10,Cash And Cash Equivalents,2021-06-30,1072869000
IT0000076502,Danieli & C,balances_11,Total Capitalization,2021-06-30,2327155000
IT0000076502,Danieli & C,income_01,Diluted EPS,2021-06-30,1.080481
IT0000076502,Danieli & C,income_02,Basic EPS,2021-06-30,1.080481
IT0000076502,Danieli & C,income_03,Total Revenue,2021-06-30,2637032000
IT0000076502,Danieli & C,income_04,Cost Of Revenue,2021-06-30,2043327000
IT0000076502,Danieli & C,income_05,Operating Revenue,2021-06-30,2637032000
IT0000076502,Danieli & C,income_06,Net Income,2021-06-30,80189000
IT0000076502,Danieli & C,income_07,EBIT,2021-06-30,136921000
IT0000076502,Danieli & C,income_08,EBITDA,2021-06-30,234722000
IT0000076502,Danieli & C,income_09,Normalized EBITDA,2021-06-30,235157000
IT0000214293,Toscana Aeroporti,balances_01,Current Liabilities,2021-12-31,104126000
IT0000214293,Toscana Aeroporti,balances_02,Total Assets,2021-12-31,332035000
IT0000214293,Toscana Aeroporti,balances_03,Total Non Current Assets,2021-12-31,242757000
IT0000214293,Toscana Aeroporti,balances_04,Investmentin Financial Assets,2021-12-31,0
IT0000214293,Toscana Aeroporti,balances_05,Other Intangible Assets,2021-12-31,185384000
IT0000214293,Toscana Aeroporti,balances_06,Goodwill,2021-12-31,3735000
IT0000214293,Toscana Aeroporti,balances_07,Current Assets,2021-12-31,89278000
IT0000214293,Toscana Aeroporti,balances_09,Accounts Receivable,2021-12-31,16233000
IT0000214293,Toscana Aeroporti,balances_10,Cash And Cash Equivalents,2021-12-31,54147000
IT0000214293,Toscana Aeroporti,balances_11,Total Capitalization,2021-12-31,195509000
IT0000214293,Toscana Aeroporti,income_01,Diluted EPS,2021-12-31,-0.282
IT0000214293,Toscana Aeroporti,income_02,Basic EPS,2021-12-31,-0.282
IT0000214293,Toscana Aeroporti,income_03,Total Revenue,2021-12-31,48532000
IT0000214293,Toscana Aeroporti,income_04,Cost Of Revenue,2021-12-31,55611000
IT0000214293,Toscana Aeroporti,income_05,Operating Revenue,2021-12-31,48532000
IT0000214293,Toscana Aeroporti,income_06,Net Income,2021-12-31,-5256000
IT0000214293,Toscana Aeroporti,income_07,EBIT,2021-12-31,-9257000
IT0000214293,Toscana Aeroporti,income_08,EBITDA,2021-12-31,1134000
IT0000214293,Toscana Aeroporti,income_09,Normalized EBITDA,2021-12-31,-719000
IT0000336518,Juventus Fc,balances_01,Current Liabilities,2021-06-30,367676079
IT0000336518,Juventus Fc,balances_02,Total Assets,2021-06-30,907811913
IT0000336518,Juventus Fc,balances_03,Total Non Current Assets,2021-06-30,720090018
IT0000336518,Juventus Fc,balances_04,Investmentin Financial Assets,2021-06-30,13015630
IT0000336518,Juventus Fc,balances_05,Other Intangible Assets,2021-06-30,482059558
IT0000336518,Juventus Fc,balances_06,Goodwill,2021-06-30,1811233
IT0000336518,Juventus Fc,balances_07,Current Assets,2021-06-30,187721895
IT0000336518,Juventus Fc,balances_08,Inventory,2021-06-30,9127022
IT0000336518,Juventus Fc,balances_09,Accounts Receivable,2021-06-30,35975000
IT0000336518,Juventus Fc,balances_10,Cash And Cash Equivalents,2021-06-30,10533461
IT0000336518,Juventus Fc,balances_11,Total Capitalization,2021-06-30,353692822
IT0000336518,Juventus Fc,income_01,Diluted EPS,2021-06-30,-0.158
IT0000336518,Juventus Fc,income_02,Basic EPS,2021-06-30,-0.158
IT0000336518,Juventus Fc,income_03,Total Revenue,2021-06-30,478576290
IT0000336518,Juventus Fc,income_04,Cost Of Revenue,2021-06-30,314066460
IT0000336518,Juventus Fc,income_05,Operating Revenue,2021-06-30,478576290
IT0000336518,Juventus Fc,income_06,Net Income,2021-06-30,-209885432
IT0000336518,Juventus Fc,income_07,EBIT,2021-06-30,-191403171
IT0000336518,Juventus Fc,income_08,EBITDA,2021-06-30,25839367
IT0000336518,Juventus Fc,income_09,Normalized EBITDA,2021-06-30,43017367
IT0000784196,Bca Pop Sondrio,balances_02,Total Assets,2021-12-31,55016149000
IT0000784196,Bca Pop Sondrio,balances_04,Investmentin Financial Assets,2021-12-31,14483249000
IT0000784196,Bca Pop Sondrio,balances_05,Other Intangible Assets,2021-12-31,18381000
IT0000784196,Bca Pop Sondrio,balances_06,Goodwill,2021-12-31,12632000
IT0000784196,Bca Pop Sondrio,balances_10,Cash And Cash Equivalents,2021-12-31,7935209000
IT0000784196,Bca Pop Sondrio,balances_11,Total Capitalization,2021-12-31,7506456000
IT0000784196,Bca Pop Sondrio,income_01,Diluted EPS,2021-12-31,0.593
IT0000784196,Bca Pop Sondrio,income_02,Basic EPS,2021-12-31,0.593
IT0000784196,Bca Pop Sondrio,income_03,Total Revenue,2021-12-31,1114986000
IT0000784196,Bca Pop Sondrio,income_05,Operating Revenue,2021-12-31,1114986000
IT0000784196,Bca Pop Sondrio,income_06,Net Income,2021-12-31,268634000
IT0001017851,Rosetti Marino,balances_01,Current Liabilities,2021-12-31,76284000
IT0001017851,Rosetti Marino,balances_02,Total Assets,2021-12-31,374078000
IT0001017851,Rosetti Marino,balances_03,Total Non Current Assets,2021-12-31,124210000
IT0001017851,Rosetti Marino,balances_05,Other Intangible Assets,2021-12-31,3189000
IT0001017851,Rosetti Marino,balances_06,Goodwill,2021-12-31,3406000
IT0001017851,Rosetti Marino,balances_07,Current Assets,2021-12-31,249868000
IT0001017851,Rosetti Marino,balances_08,Inventory,2021-12-31,52409000
IT0001017851,Rosetti Marino,balances_09,Accounts Receivable,2021-12-31,46697000
IT0001017851,Rosetti Marino,balances_10,Cash And Cash Equivalents,2021-12-31,69107000
IT0001017851,Rosetti Marino,balances_11,Total Capitalization,2021-12-31,197041000
IT0001017851,Rosetti Marino,income_01,Diluted EPS,2021-12-31,-14.401842
IT0001017851,Rosetti Marino,income_02,Basic EPS,2021-12-31,-14.401842
IT0001017851,Rosetti Marino,income_03,Total Revenue,2021-12-31,173870000
IT0001017851,Rosetti Marino,income_04,Cost Of Revenue,2021-12-31,173984000
IT0001017851,Rosetti Marino,income_05,Operating Revenue,2021-12-31,173870000
IT0001017851,Rosetti Marino,income_06,Net Income,2021-12-31,-54727000
IT0001017851,Rosetti Marino,income_07,EBIT,2021-12-31,-63759000
IT0001017851,Rosetti Marino,income_08,EBITDA,2021-12-31,-56760000
IT0001017851,Rosetti Marino,income_09,Normalized EBITDA,2021-12-31,-52762000
IT0001018362,Valsoia,balances_01,Current Liabilities,2021-12-31,24792313
IT0001018362,Valsoia,balances_02,Total Assets,2021-12-31,116452519
IT0001018362,Valsoia,balances_03,Total Non Current Assets,2021-12-31,56766493
IT0001018362,Valsoia,balances_05,Other Intangible Assets,2021-12-31,26558000
IT0001018362,Valsoia,balances_06,Goodwill,2021-12-31,17453307
IT0001018362,Valsoia,balances_07,Current Assets,2021-12-31,59686026
IT0001018362,Valsoia,balances_08,Inventory,2021-12-31,9079435
IT0001018362,Valsoia,balances_09,Accounts Receivable,2021-12-31,8318104
IT0001018362,Valsoia,balances_10,Cash And Cash Equivalents,2021-12-31,41245097
IT0001018362,Valsoia,balances_11,Total Capitalization,2021-12-31,88354801
IT0001018362,Valsoia,income_01,Diluted EPS,2021-12-31,0.683
IT0001018362,Valsoia,income_02,Basic EPS,2021-12-31,0.688
IT0001018362,Valsoia,income_03,Total Revenue,2021-12-31,90953246
IT0001018362,Valsoia,income_04,Cost Of Revenue,2021-12-31,52726954
IT0001018362,Valsoia,income_05,Operating Revenue,2021-12-31,90953246
IT0001018362,Valsoia,income_06,Net Income,2021-12-31,7364511
IT0001018362,Valsoia,income_07,EBIT,2021-12-31,10741589
IT0001018362,Valsoia,income_08,EBITDA,2021-12-31,13219589
IT0001018362,Valsoia,income_09,Normalized EBITDA,2021-12-31,13208589
IT0001029492,Saes Getters,balances_01,Current Liabilities,2021-12-31,101314000
IT0001029492,Saes Getters,balances_02,Total Assets,2021-12-31,432741000
IT0001029492,Saes Getters,balances_03,Total Non Current Assets,2021-12-31,237489000
IT0001029492,Saes Getters,balances_04,Investmentin Financial Assets,2021-12-31,71887000
IT0001029492,Saes Getters,balances_05,Other Intangible Assets,2021-12-31,11240000
IT0001029492,Saes Getters,balances_06,Goodwill,2021-12-31,48631000
IT0001029492,Saes Getters,balances_07,Current Assets,2021-12-31,195252000
IT0001029492,Saes Getters,balances_08,Inventory,2021-12-31,35392000
IT0001029492,Saes Getters,balances_09,Accounts Receivable,2021-12-31,29614000
IT0001029492,Saes Getters,balances_10,Cash And Cash Equivalents,2021-12-31,29518000
IT0001029492,Saes Getters,balances_11,Total Capitalization,2021-12-31,305719000
IT0001029492,Saes Getters,income_01,Diluted EPS,2021-12-31,0.69831
IT0001029492,Saes Getters,income_02,Basic EPS,2021-12-31,0.69831
IT0001029492,Saes Getters,income_03,Total Revenue,2021-12-31,190198000
IT0001029492,Saes Getters,income_04,Cost Of Revenue,2021-12-31,109170000
IT0001029492,Saes Getters,income_05,Operating Revenue,2021-12-31,190198000
IT0001029492,Saes Getters,income_06,Net Income,2021-12-31,12797000
IT0001029492,Saes Getters,income_07,EBIT,2021-12-31,24393000
IT0001029492,Saes Getters,income_08,EBITDA,2021-12-31,36486000
IT0001029492,Saes Getters,income_09,Normalized EBITDA,2021-12-31,37324000
IT0001031084,Banca Generali,balances_02,Total Assets,2021-12-31,16191610000
IT0001031084,Banca Generali,balances_04,Investmentin Financial Assets,2021-12-31,10653240000
IT0001031084,Banca Generali,balances_05,Other Intangible Assets,2021-12-31,48099000
IT0001031084,Banca Generali,balances_06,Goodwill,2021-12-31,88073000
IT0001031084,Banca Generali,balances_10,Cash And Cash Equivalents,2021-12-31,1828599000
IT0001031084,Banca Generali,balances_11,Total Capitalization,2021-12-31,1331036000
IT0001031084,Banca Generali,income_01,Diluted EPS,2021-12-31,2.81
IT0001031084,Banca Generali,income_02,Basic EPS,2021-12-31,2.81
IT0001031084,Banca Generali,income_03,Total Revenue,2021-12-31,807130000
IT0001031084,Banca Generali,income_05,Operating Revenue,2021-12-31,807130000
IT0001031084,Banca Generali,income_06,Net Income,2021-12-31,323103000
IT0001041000,Bco Desio Brianza,balances_02,Total Assets,2021-12-31,17804781000
IT0001041000,Bco Desio Brianza,balances_04,Investmentin Financial Assets,2021-12-31,3798232000
IT0001041000,Bco Desio Brianza,balances_05,Other Intangible Assets,2021-12-31,3797000
IT0001041000,Bco Desio Brianza,balances_06,Goodwill,2021-12-31,15322000
IT0001041000,Bco Desio Brianza,balances_10,Cash And Cash Equivalents,2021-12-31,2044587000
IT0001041000,Bco Desio Brianza,balances_11,Total Capitalization,2021-12-31,2728104000
IT0001041000,Bco Desio Brianza,income_01,Diluted EPS,2021-12-31,0.40384
IT0001041000,Bco Desio Brianza,income_02,Basic EPS,2021-12-31,0.40384
IT0001041000,Bco Desio Brianza,income_03,Total Revenue,2021-12-31,458177000
IT0001041000,Bco Desio Brianza,income_05,Operating Revenue,2021-12-31,458177000
IT0001041000,Bco Desio Brianza,income_06,Net Income,2021-12-31,54901000
IT0001042610,Sabaf,balances_01,Current Liabilities,2021-12-31,98787000
IT0001042610,Sabaf,balances_02,Total Assets,2021-12-31,316408000
IT0001042610,Sabaf,balances_03,Total Non Current Assets,2021-12-31,130093000
IT0001042610,Sabaf,balances_04,Investmentin Financial Assets,2021-12-31,83000
IT0001042610,Sabaf,balances_05,Other Intangible Assets,2021-12-31,17963000
IT0001042610,Sabaf,balances_06,Goodwill,2021-12-31,17590000
IT0001042610,Sabaf,balances_07,Current Assets,2021-12-31,186315000
IT0001042610,Sabaf,balances_08,Inventory,2021-12-31,64153000
IT0001042610,Sabaf,balances_09,Accounts Receivable,2021-12-31,68040000
IT0001042610,Sabaf,balances_10,Cash And Cash Equivalents,2021-12-31,43649000
IT0001042610,Sabaf,balances_11,Total Capitalization,2021-12-31,205087000
IT0001042610,Sabaf,income_01,Diluted EPS,2021-12-31,2.132
IT0001042610,Sabaf,income_02,Basic EPS,2021-12-31,2.132
IT0001042610,Sabaf,income_03,Total Revenue,2021-12-31,263259000
IT0001042610,Sabaf,income_04,Cost Of Revenue,2021-12-31,128597000
IT0001042610,Sabaf,income_05,Operating Revenue,2021-12-31,263259000
IT0001042610,Sabaf,income_06,Net Income,2021-12-31,23903000
IT0001042610,Sabaf,income_07,EBIT,2021-12-31,30416000
IT0001042610,Sabaf,income_08,EBITDA,2021-12-31,47285000
IT0001042610,Sabaf,income_09,Normalized EBITDA,2021-12-31,46713000
IT0001128047,Cembre,balances_01,Current Liabilities,2021-12-31,51650000
IT0001128047,Cembre,balances_02,Total Assets,2021-12-31,237819000
IT0001128047,Cembre,balances_03,Total Non Current Assets,2021-12-31,103501000
IT0001128047,Cembre,balances_05,Other Intangible Assets,2021-12-31,4476000
IT0001128047,Cembre,balances_06,Goodwill,2021-12-31,4608000
IT0001128047,Cembre,balances_07,Current Assets,2021-12-31,134318000
IT0001128047,Cembre,balances_08,Inventory,2021-12-31,55505000
IT0001128047,Cembre,balances_09,Accounts Receivable,2021-12-31,28164000
IT0001128047,Cembre,balances_10,Cash And Cash Equivalents,2021-12-31,46636000
IT0001128047,Cembre,balances_11,Total Capitalization,2021-12-31,176158000
IT0001128047,Cembre,income_01,Diluted EPS,2021-12-31,1.51
IT0001128047,Cembre,income_02,Basic EPS,2021-12-31,1.51
IT0001128047,Cembre,income_03,Total Revenue,2021-12-31,167362000
