symbol,time,value
ADGM,1777275480000,0.0
ADGM,1777275590000,0.0
ADGM,1777275690000,0.0
ADGM,1777275720000,0.0
ADGM,1777275810000,0.0
ADGM,1777275840000,0.0
ADGM,1777275920000,0.0
ADGM,1777275940000,0.0
ADGM,1777276010000,0.0
ADGM,1777276100000,0.0
ADGM,1777276130000,0.0
ADGM,1777276140000,0.0
ADGM,1777276200000,0.0
ADGM,1777276310000,0.0
ADGM,1777276330000,0.0
ADGM,1777276800000,0.0
ADGM,1777276830000,200.0
ADGM,1777276860000,200.0
ADGM,1777276890000,12600.0
ADGM,1777276920000,19300.0
ADGM,1777276950000,19500.0
ADGM,1777276980000,19500.0
ADGM,1777277010000,20100.0
ADGM,1777277040000,20300.0
ADGM,1777277070000,25500.0
ADGM,1777277100000,26700.0
ADGM,1777277130000,26700.0
ADGM,1777277170000,26700.0
ADGM,1777277190000,29300.0
ADGM,1777277220000,31100.0
ADGM,1777277250000,31600.0
ADGM,1777277290000,31600.0
ADGM,1777277320000,31600.0
ADGM,1777277340000,32000.0
ADGM,1777277380000,32300.0
ADGM,1777277410000,32400.0
ADGM,1777277430000,33900.0
ADGM,1777277470000,34400.0
ADGM,1777277490000,34400.0
ADGM,1777277530000,34900.0
ADGM,1777277570000,34900.0
ADGM,1777277600000,34900.0
ADGM,1777277610000,39100.0
ADGM,1777277640000,39500.0
ADGM,1777277680000,39800.0
ADGM,1777277740000,39800.0
ADGM,1777277760000,49800.0
ADGM,1777277800000,49800.0
ADGM,1777277830000,49800.0
ADGM,1777277850000,52100.0
ADGM,1777277880000,52100.0
ADGM,1777277920000,52100.0
ADGM,1777277940000,52200.0
ADGM,1777277970000,52700.0
ADGM,1777278000000,52700.0
ADGM,1777278060000,52700.0
ADGM,1777278090000,52700.0
ADGM,1777278120000,52800.0
ADGM,1777278150000,52800.0
ADGM,1777278180000,54300.0
ADGM,1777278210000,54300.0
ADGM,1777278240000,54500.0
ADGM,1777278270000,54500.0
ADGM,1777278300000,54500.0
ADGM,1777278330000,54500.0
ADGM,1777278360000,56100.0
ADGM,1777278390000,56100.0
ADGM,1777278420000,56800.0
ADGM,1777278450000,56800.0
ADGM,1777278480000,56900.0
ADGM,1777278510000,56900.0
ADGM,1777278540000,57000.0
ADGM,1777278570000,58100.0
ADGM,1777278600000,58100.0
ADGM,1777278670000,58100.0
ADGM,1777278690000,58500.0
ADGM,1777278720000,58700.0
ADGM,1777278760000,58800.0
ADGM,1777278790000,58900.0
ADGM,1777278840000,59200.0
ADGM,1777278870000,59200.0
ADGM,1777278900000,59200.0
ADGM,1777278930000,59200.0
ADGM,1777278960000,59200.0
ADGM,1777279000000,59900.0
ADGM,1777279040000,59900.0
ADGM,1777279140000,60300.0
ADGM,1777279170000,60800.0
ADGM,1777279210000,61000.0
ADGM,1777279240000,61600.0
ADGM,1777279270000,61600.0
ADGM,1777279300000,61600.0
ADGM,1777279360000,61600.0
ADGM,1777279390000,61600.0
ADGM,1777279450000,61700.0
ADGM,1777279470000,61900.0
ADGM,1777279520000,62000.0
ADGM,1777279550000,62000.0
ADGM,1777279580000,62000.0
ADGM,1777279670000,62000.0
ADGM,1777279700000,62700.0
ADGM,1777279710000,62700.0
ADGM,1777279740000,62700.0
ADGM,1777279770000,62700.0
ADGM,1777279800000,62800.0
ADGM,1777279830000,63000.0
ADGM,1777279860000,63100.0
ADGM,1777279890000,63400.0
ADGM,1777279920000,63400.0
ADGM,1777279950000,63400.0
ADGM,1777280000000,64400.0
ADGM,1777280010000,64400.0
ADGM,1777280060000,64400.0
ADGM,1777280070000,65500.0
ADGM,1777280100000,65500.0
ADGM,1777280130000,65700.0
ADGM,1777280160000,65900.0
ADGM,1777280190000,67000.0
ADGM,1777280220000,68200.0
ADGM,1777280250000,68200.0
ADGM,1777280280000,68200.0
ADGM,1777280320000,68400.0
ADGM,1777280350000,68500.0
ADGM,1777280420000,68500.0
ADGM,1777280430000,70400.0
ADGM,1777280460000,72100.0
ADGM,1777280510000,72200.0
ADGM,1777280540000,72200.0
ADGM,1777280630000,72200.0
ADGM,1777280640000,78900.0
ADGM,1777280670000,83700.0
ADGM,1777280710000,84100.0
ADGM,1777280730000,84300.0
ADGM,1777280760000,84400.0
ADGM,1777280790000,84400.0
ADGM,1777280820000,84800.0
ADGM,1777280850000,84900.0
ADGM,1777280880000,84900.0
ADGM,1777280910000,85000.0
ADGM,1777280940000,85100.0
ADGM,1777280970000,85300.0
ADGM,1777281010000,85800.0
ADGM,1777281040000,85900.0
ADGM,1777281150000,86100.0
ADGM,1777281180000,86600.0
ADGM,1777281210000,86700.0
ADGM,1777281250000,86700.0
ADGM,1777281280000,86900.0
ADGM,1777281320000,86900.0
ADGM,1777281330000,87100.0
ADGM,1777281380000,87100.0
ADGM,1777281450000,87500.0
ADGM,1777281550000,87500.0
ADGM,1777281570000,88200.0
ADGM,1777281600000,89400.0
ADGM,1777281630000,93800.0
ADGM,1777281670000,95600.0
ADGM,1777281700000,95600.0
ADGM,1777281720000,97300.0
ADGM,1777281750000,97800.0
ADGM,1777281780000,98500.0
ADGM,1777281810000,98800.0
ADGM,1777281840000,99500.0
ADGM,1777281870000,100700.0
ADGM,1777281900000,102000.0
ADGM,1777281940000,102000.0
ADGM,1777281960000,102700.0
ADGM,1777281990000,103200.0
ADGM,1777282020000,103500.0
ADGM,1777282050000,103900.0
ADGM,1777282090000,103900.0
ADGM,1777282110000,104900.0
ADGM,1777282140000,106000.0
ADGM,1777282170000,107600.0
ADGM,1777282200000,109400.0
ADGM,1777282230000,110400.0
ADGM,1777282260000,112400.0
ADGM,1777282290000,118000.0
ADGM,1777282320000,119000.0
ADGM,1777282350000,121400.0
ADGM,1777282380000,125300.0
ADGM,1777282410000,130000.0
ADGM,1777282440000,131200.0
ADGM,1777282480000,133500.0
ADGM,1777282510000,133500.0
ADGM,1777282540000,135200.0
ADGM,1777282560000,138000.0
ADGM,1777282600000,138000.0
ADGM,1777282620000,139700.0
ADGM,1777282650000,140100.0
ADGM,1777282680000,146700.0
ADGM,1777282710000,149200.0
ADGM,1777282750000,149200.0
ADGM,1777282770000,149500.0
ADGM,1777282810000,149600.0
ADGM,1777282830000,152300.0
ADGM,1777282860000,152400.0
ADGM,1777282890000,153100.0
ADGM,1777282920000,153100.0
ADGM,1777282950000,153100.0
ADGM,1777282980000,153100.0
ADGM,1777283010000,155200.0
ADGM,1777283040000,155400.0
ADGM,1777283070000,157100.0
ADGM,1777283100000,157200.0
ADGM,1777283130000,157500.0
ADGM,1777283160000,157700.0
ADGM,1777283190000,158700.0
ADGM,1777283220000,159000.0
ADGM,1777283250000,159300.0
ADGM,1777283280000,159600.0
ADGM,1777283310000,159600.0
ADGM,1777283340000,161500.0
ADGM,1777283380000,162200.0
ADGM,1777283410000,162200.0
ADGM,1777283430000,163000.0
ADGM,1777283460000,163000.0
ADGM,1777283520000,163000.0
ADGM,1777283550000,163200.0
ADGM,1777283580000,163200.0
ADGM,1777283610000,163200.0
ADGM,1777283640000,166100.0
ADGM,1777283670000,166200.0
ADGM,1777283700000,166600.0
ADGM,1777283730000,166600.0
ADGM,1777283770000,166600.0
ADGM,1777283790000,166800.0
ADGM,1777283820000,166900.0
ADGM,1777283860000,167100.0
ADGM,1777283880000,169000.0
ADGM,1777283930000,169100.0
ADGM,1777283950000,169400.0
ADGM,1777283990000,169400.0
ADGM,1777284020000,169400.0
ADGM,1777284030000,169600.0
